#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_58
t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240934036.06719303,3,819,-2113753026.958483,147133614943.6866,-10349351.87584555,-30266.40310156088,-530.8308547696421,-0.3798952675292543,-2102831736.127336,147129548156.32144,-7926616.635548455,-38233.6209135771,12591.282441960966,-2653.6772600695986,0.9331147000318879
240934036.06719303,3,2813,-2113753026.958483,147133614943.6866,-10349351.87584555,-30266.40310156088,-530.8308547696421,-0.3798952675292543,-2102506734.082115,147129409904.0346,-7895398.348238665,-38185.330003831725,12550.669874320749,-2636.5814514842355,0.9606983711939671
240934175.99998713,3,1567,-2117988288.7181609,147133540603.15854,-10349405.051821629,-30266.394613754703,-531.6867427519728,-0.38012636262174854,-2106534052.1748729,147130624723.367,-8142871.935007421,-38335.60649927252,12504.94662948144,-2641.209080942076,0.942575766560074
240932734.45155323,3,1838,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2080677780.0958762,147124448564.72537,-6918309.338976145,-36346.40591488483,13478.032046992532,-2828.0073185255264,0.9561864590812479
240932734.45155323,3,3945,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2077732648.8513017,147123147160.33868,-6645751.125943363,-36671.37931288858,13336.324483448821,-2782.2790530077978,0.9585242942941431
240932734.45155323,3,2000,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2079305773.4511943,147123847592.63953,-6794482.038353622,-36502.90659687193,13431.492901660862,-2812.2354816731327,0.9484685012746947
240932734.45155323,3,3368,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2075764981.634459,147122287933.67526,-6468459.694126621,-36847.09377224156,13175.278203102685,-2732.670961519429,0.9957562555600262
240932734.45155323,3,2180,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2076645097.0854506,147122678200.99023,-6549902.226672582,-36774.22339870394,13253.30663076191,-2756.4281235447534,0.9751840405496142
240932734.45155323,3,3532,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2081333162.0108943,147124721551.74765,-6973977.528970256,-36272.556590897686,13485.765468151234,-2831.129279702404,0.965875128942395
240932734.45155323,3,1481,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2077697450.611054,147123143073.297,-6647781.918257095,-36674.80097491066,13336.08116200312,-2781.9259376165824,0.9580106347855535
240932734.45155323,3,3685,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2076846904.12818,147122760242.59146,-6566034.985001661,-36756.100054588824,13268.845573771316,-2761.275459330761,0.9718424156820581
240932734.45155323,3,327,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2079086867.801827,147123749485.13626,-6773577.348196991,-36527.41774651626,13420.51462309322,-2808.727584466587,0.9487643823084457
240932734.45155323,3,2291,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2076772655.7907443,147122725803.5864,-6559638.211372539,-36762.789333320856,13262.479500186793,-2759.231299604337,0.9733600953889333
240932734.45155323,3,481,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2082594824.944305,147125270371.7116,-7085525.493751384,-36133.75419574447,13483.949883002964,-2832.2089417935804,0.9917402722709461
240932734.45155323,3,530,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2075617955.3456063,147122227222.96228,-6455199.190290906,-36858.39235144485,13162.342402185363,-2728.8328148298565,0.9993699662734171
240932734.45155323,3,1537,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2080004139.3859754,147124138546.39966,-6852317.744430989,-36424.46806836812,13456.507447213948,-2820.7957473871143,0.9516796942033324
240932734.45155323,3,498,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2077686701.0422368,147123123817.72824,-6642193.6218593195,-36675.997462621264,13332.580647794355,-2780.956899493854,0.9592920136826969
240932734.45155323,3,607,-2074357752.4669023,147134300700.22244,-10348858.798942305,-30266.48089570641,-522.8696775236812,-0.37774183165884834,-2080511960.6195102,147124368354.76947,-6899765.492572114,-36365.92288614558,13472.679748387909,-2826.3684484634864,0.9550482507480935
